Pattern,issue,output,12_examples,14_examples
PS_ERROR_NOUN_PHRASE,""""""" Hi, I'm trying to get angular 11 working with webpack 5 so I can play around with module federation for micro-frontends. When I try to convert my main app over, I get an error when localhost tries to load the page from the main.ts file. Any ideas why it can't find this? It's in node modules ``` Uncaught Error: Cannot find module '@angular/platform-browser' at webpackMissingModule (main.js:11) ``` """"""","The sentence """""" Uncaught Error: Cannot find module '@angular/platform-browser' at webpackMissingModule """""" uses <pattern>Uncaught Error: [error message]</pattern> to indicate that there is something wrong ""when localhost tries to load the page from the main.ts file"". The answer is YES.",1,1
PS_PROBLEM,""""""" Im having trouble trying to update some data using and api called ""crud:crud"", I can ""get"" and ""post"" fine but ""put"" is giving me this error. How could I fix that? """"""","The sentence """""" Im having trouble trying to update some data using and api called ""crud:crud"" """""" uses <pattern>having trouble VBG</pattern> to indicate that there is something wrong when ""trying to update some data"". The answer is YES.",1,1
PS_NEG_VERB,""""""" Hey guys, any ideas on why a test executes perfectly on a real android device, but .waitForElementById and .elementById will fail every time when I run the same exact test on SauceLabs (Android Emulator)? I'm using node bindings and the latest versions of everything. ""Error response status: 7, , NoSuchElement - An element could not be located on the page using the given search parameters"" """"""","The sentence """""" but .waitForElementById and .elementById will fail every time when I run the same exact test on SauceLabs (Android Emulator)? """""" uses <pattern>sth will fail every time</pattern> to indicate that there is something wrong with "".waitForElementById and .elementById"". The answer is YES.",1,1
PS_STUCK,""""""" Um... maybe this is a stupid problem but really confuse me. With the progress of regression training, the error becomes bigger and bigger. Did the ""identity"" activation have some special requirements about input? For example, between -1 and 1? thanks first, I will try it hope it can solve the problem The train result is always converge to the mean of  train set output when using ""identity"". It seems the model is just a line. What\'s wrong? I just want to fit a curve. So maybe i stuck into a local minimum value... I am sorry about my words. """"""","The sentence """""" So maybe i stuck into a local minimum value """""" uses <pattern>stuck into sth</pattern> to indicate that the user is having trouble getting ""a local minimum value"". The answer is YES.",0,1
PS_NOTICE,""""""" I am having a strange issue, and I don't know where to start troubleshooting. I have methods that get called to display data on my pages, like looking up a name from an ID. I noticed that the methods are getting called almost constantly, as if the page is constantly being redrawn. Has anyone seen this before? Any ideas on where to start? My project is huge now. I don't know when the problem began. """"""","The sentence """""" I noticed that the methods are getting called almost constantly """""" uses <pattern>I noticed that</pattern> to indicate that there is something wrong with ""the methods"". The answer is YES.",1,1
PS_SEEMS_TO_NEG_VERB,""""""" Hey guys, I'm trying to get a reference to a RouterLinkActive on a link which as a ngIf on it. I have tried @ViewChild (RouterLinkActive) and @ViewChildren (RouterLinkActive) but that does not seem to work. Any ideas? """"""","The sentence """""" I have tried @ViewChild (RouterLinkActive) and @ViewChildren (RouterLinkActive) but that does not seem to work """""" uses <pattern>does not seem to work</pattern>  to indicate that the user is having trouble ""get a reference to a RouterLinkActive"". The answer is YES.",1,1
PS_NEG_ADV_ADJ,""""""" Anyone good with git? I'm getting some weird behavior and I can't quite make sense of it. when I do git rebase -i HEAD~3, it shows the commits in this order:  ``` commit 1 commit 2 commit 3 ```. I would expect it to be: ``` commit 3 commit 2 commit 1 ``` """"""","The sentence """""" I'm getting some weird behavior and I can't quite make sense of it. """""" uses an undesired adjective <pattern>weird</pattern> to indicate that the user is getting something wrong. The answer is YES.",1,1
PS_VERB_ERROR,""""""" Hi, i new here and i'm workin in some app with angular when execute the application show me this error  ""You provided an invalid object where a stream was expected"". You can provide an Observable, Promise, Array, or Iterable. any ideas ? """"""","The sentence """""" i new here and i'm workin in some app with angular when execute the application show me this error """""" uses <pattern>VB PRP this error</pattern> to show the error which the user is currently encountering. The answer is YES.",1,1
PS_NEG_AUX_VERB,""""""" The ethereum wallet isn't finishing downloading.. Does anyone have this problem also? Stuck at Downloading block 892,148 of 4,637,826,Downloading chain structure 3,297,848 of 3,325,840 Any advice? Maybe I do need to put my laptop under the crane? XD Okay the running water was the fix. THANKS! """"""","The sentence """""" The ethereum wallet isn't finishing downloading. """""" uses <pattern>sth isn't finishing VBG</pattern> to indicate that there is something wrong with ""ethereum wallet"". The answer is YES.",1,1
PS_IS_THIS_NEG,""""""" Dealing with Reactive form... It gets created in the component anew every time the user click ""edit"" with something like this: ``` this.form = this.formBuilder.group(...) ``` In that same `edit` method that creates the form, we have  ``` this.form.statusChanges.subscribe(..) ``` Is this a memory leak?  I.e., every time the user clicks ""edit"", a new form is created and a new subscription is made. The old form should be garbage collected, but what will happen to the subscription? """"""","The sentence """""" Is this a memory leak? """""" uses an error noun phrase<pattern>memory leak</pattern> to indicate that there is something wrong with the code. The answer is YES.",0,1
PS_VERB_TO_BE_NEGATIVE,""""""" How can I change a property of a component in a subscribed event and get it recognized in a *ngIf=""property"" in the template? The event is fired and property is changed but there is no change in frontend. """"""","The sentence """""" The event is fired and property is changed but there is no change in frontend. """""" uses <pattern>there is no NN in</pattern> to indicate that there is something wrong ""in frontend"". The answer is YES.",1,1
PS_WITH_NO,""""""" I have been trying to download the block chain for 10 days. computer has been on for then days with no sucess. this is riduclous. i have send ethereum to a account connected to this mist. it still says that i have 0 ether.........im quessing because the chain is not downloaded......... this is a on going issue. it is sad because this is the main platform. i have not experienced any other issues with second party applications. if anybody has any advice for me please shar share """"""","The sentence """""" computer has been on for then days with no sucess. """""" uses <pattern>with no success</pattern> to indicate that there is something wrong with computer. The answer is YES.",1,1
