user_Id,cluster_Id,answer_date,answers
54d4a1d6db8155e6700f853b,12,2015-02-06 11:14:00,"I'm with family this week and so not super active, but I hope we can work towards the release next week :)
sure. There is another check_array pr that might be conflicting
and that I think is very important
the dtype=object one
https://github.com/scikit-learn/scikit-learn/pull/4057
"
54d4a1d6db8155e6700f853b,61,2015-02-24 22:46:00,"cool
ok
"
54d4a1d6db8155e6700f853b,69,2015-02-25 18:59:00,"yeah that sounds like a good idea
"
54d4a1d6db8155e6700f853b,72,2015-02-25 19:14:00,"you mean == 1
"
54d4a1d6db8155e6700f853b,75,2015-02-25 19:19:00,"that is also weird ;)
"
54d4a1d6db8155e6700f853b,83,2015-02-26 15:27:00,"cool
yeah maybe that was a bad idea. but it was already broken before
I know the bugs are unrelated, but I thought the fix might be. I was thinking about removing the implementation of partial fit, which would make it easier to fix both bugs, I think
args I meant fit_transform
err fit_predict?
"
54d4a1d6db8155e6700f853b,89,2015-02-26 19:47:00,"fyi https://github.com/scikit-learn/scikit-learn/pull/4285 should be good
I had some weird behavior with the interp1d but I need to do some NYU stuff before I can investigate further
"
54d4a1d6db8155e6700f853b,97,2015-03-02 14:53:00,"damn time difference ;)
"
54d4a1d6db8155e6700f853b,115,2015-03-02 21:54:00,"possibly. I didn't have much time to look at them yet
this is not really a priority as I want to get stuff clean and fixed for the release first
"
54d4a1d6db8155e6700f853b,118,2015-03-02 22:40:00,"haha I just saw it and thought you read my message ;)
anything I should look at now? btw, does beta mean uploading docs?
probably not I guess?
"
54d4a1d6db8155e6700f853b,132,2015-03-05 20:44:00,"ok
"
54d4a1d6db8155e6700f853b,141,2015-03-05 21:08:00,"Try a tree? Or use OneVsRestClassifer(LogisticRegression).
I'll have a look soon.
probably with ``estimator__``. But I'd rather go with a tree, which should work
"
54d4a1d6db8155e6700f853b,144,2015-03-05 21:27:00,"no transparency here. I technically have a laptop monitor and a large one, but in the office I currently only use the large one. Still context-switching too much.
I have the gitter tab just always open
"
54d4a1d6db8155e6700f853b,149,2015-03-05 22:25:00,"ok let me look at it tomorrow
"
54d4a1d6db8155e6700f853b,160,2015-03-06 16:26:00,"I feel the same way
do you want to press the green button or should I do the rebase dance?
"
54d4a1d6db8155e6700f853b,168,2015-03-06 17:48:00,"ok
"
54d4a1d6db8155e6700f853b,183,2015-03-07 17:38:00,"yeah, go ahead. the branch should be there now.
"
54d4a1d6db8155e6700f853b,185,2015-03-07 17:56:00,"you too!
"
54d4a1d6db8155e6700f853b,196,2015-03-10 20:32:00,"landscape.io does not seem to be very mature yet. but could be cool and carl is pretty responsive
"
54d4a1d6db8155e6700f853b,213,2015-03-11 14:30:00,"ok
"
54d4a1d6db8155e6700f853b,238,2015-03-18 15:23:00,"@omerzimp why are you so set on AF?
"
54d4a1d6db8155e6700f853b,243,2015-03-18 15:26:00,"there is also AgglomerativeClustering, which is much faster and easier to understand than AF
and provides a hierarchical clustering
well ok if your point is to understand how to implement AF on MR then go for that. I just don't see why you would want to do that, as AF is a crappy algorithm.
There are a also papers about implementing good clustering algorithms on MR
"
54d4a1d6db8155e6700f853b,245,2015-03-18 15:27:00,"I am just asking why you want AF.
"
54d4a1d6db8155e6700f853b,249,2015-03-18 15:41:00,"@ogrisel cool :) there are sooo many reviews to be done....
"
54d4a1d6db8155e6700f853b,251,2015-03-18 15:46:00,"btw @ogrisel if we merge one Pr every day, we will still be going at Chrismas (if no-one opens any more).
omerzimp there is none. Pyspark is the closest, I'd think. there are also python interfaces for h2o and graphlab/dato
"
54d4a1d6db8155e6700f853b,253,2015-03-18 15:52:00,"np.unique(clustering.labels_)
"
54d4a1d6db8155e6700f853b,269,2015-03-18 20:11:00,"thanks, that's awesome! have fun!
I'll try to figure out the test that crashes on all kind of weird combinations of python and numpy
"
54d4a1d6db8155e6700f853b,270,2015-03-18 20:20:00,":feelsgood:
"
54d4a1d6db8155e6700f853b,273,2015-03-18 20:30:00,"Well if you want, you can try to track down what are the changes in python and numpy that cause this to fail ;)
I have to work on organizational stuff for the rest of the day, so I can't track this down much further at the moment
"
54d4a1d6db8155e6700f853b,286,2015-03-19 16:29:00,"I could but I have other things to do. and without looking at it, how should I say if it is doable?
"
54d4a1d6db8155e6700f853b,291,2015-03-20 15:54:00,"thanks, looks good and I marked for backport
"
