user_Id,cluster_Id,answer_date,answers,tags
54d4a1d6db8155e6700f853b,12,2015-02-06 11:14:00,"I'm with family this week and so not super active, but I hope we can work towards the release next week :)
sure. There is another check_array pr that might be conflicting
and that I think is very important
the dtype=object one
https://github.com/scikit-learn/scikit-learn/pull/4057
","['import', 'tps', 'dtype', 'ase', 'el', 'hub', 'dt', 'om', 'nt', 'super', 'next', 'ex', 'ant', 'ta', 'sc', 'port', 'co', 'ch', 'arr', 'ray', 'rd', 'rel', 'git', 'https', 'rt', 'xt', 'pull', 'ps', 'rr', 'ear', 'release', 'ca', 'com', 'war', 'hat', 'su', 'rds', 'imp', 'sup', 'scikit-learn', 'il', 'thin', 'conflict', 'eas', 'po', 'github', 'mi', 'act', 'http', 'object', 'mpo']"
54d4a1d6db8155e6700f853b,61,2015-02-24 22:46:00,"cool
ok
",['co']
54d4a1d6db8155e6700f853b,69,2015-02-25 18:59:00,"yeah that sounds like a good idea
","['de', 'goo', 'ide', 'hat', 'go', 'ou', 'od']"
54d4a1d6db8155e6700f853b,72,2015-02-25 19:14:00,"you mean == 1
","['mean', 'yo', 'ou']"
54d4a1d6db8155e6700f853b,75,2015-02-25 19:19:00,"that is also weird ;)
","['ei', 'rd', 'hat', 'lso', 'als', 'ls']"
54d4a1d6db8155e6700f853b,83,2015-02-26 15:27:00,"cool
yeah maybe that was a bad idea. but it was already broken before
I know the bugs are unrelated, but I thought the fix might be. I was thinking about removing the implementation of partial fit, which would make it easier to fix both bugs, I think
args I meant fit_transform
err fit_predict?
","['sf', 'el', 'mov', 'tr', 'rm', 'nsform', 'nt', 'de', 'vi', 'par', 'lr', 'maybe', 'transform', 'ready', 'ant', 'ta', 'know', 'co', 'ch', 'mean', 'kin', 'rel', 'ide', 'ed', 'ovi', 'args', 'rt', 'orm', 'vin', 'partial', 'relate', 'rr', 'ent', 'em', 'hat', 'mo', 'imp', 'bro', 'ou', 'red', 'ld', 'thin', 'rgs', 'ati', 'eas', 'predict', 'pre', 'implementation', 'mi', 'io', 'eme', 'edi']"
54d4a1d6db8155e6700f853b,89,2015-02-26 19:47:00,"fyi https://github.com/scikit-learn/scikit-learn/pull/4285 should be good
I had some weird behavior with the interp1d but I need to do some NYU stuff before I can investigate further
","['int', 'tps', 'tig', 'stig', 'som', 'behavior', 'hub', 'om', 'nt', 'vi', 'tuf', 'erp', 'sh', 'st', 'goo', 'sti', 'sc', 'ei', 'co', 'rd', 'ed', 'git', 'https', 'rt', 'pull', 'ps', 'ear', 'uff', 'stuff', 'gate', 'ca', 'com', 'avi', 'ff', 'go', 'ou', 'ld', 'scikit-learn', 'github', 'od', 'io', 'http']"
54d4a1d6db8155e6700f853b,97,2015-03-02 14:53:00,"damn time difference ;)
","['time', 'dam', 'ime', 'difference', 'ff', 'diff']"
54d4a1d6db8155e6700f853b,115,2015-03-02 21:54:00,"possibly. I didn't have much time to look at them yet
this is not really a priority as I want to get stuff clean and fixed for the release first
","['ase', 'el', 'time', 'get', 'idn', 'ri', 'pos', 'nt', 'cl', 'tuf', 'ant', 'wan', 'dn', 'st', 'fixed', 'ime', 'ch', 'rel', 'ed', 'ssi', 'uff', 'stuff', 'release', 'em', 'lean', 'ff', 'ss', 'muc', 'xed', 'eas', 'rs', 'po', 'irs', 'io', 'mu', 'rio']"
54d4a1d6db8155e6700f853b,118,2015-03-02 22:40:00,"haha I just saw it and thought you read my message ;)
anything I should look at now? btw, does beta mean uploading docs?
probably not I guess?
","['ag', 'jus', 'doc', 'loading', 'ess', 'ta', 'sh', 'st', 'sage', 'uploading', 'mean', 'upload', 'ocs', 'yo', 'beta', 'sag', 'message', 'ss', 'bt', 'ou', 'ld', 'sa', 'thin', 'yt', 'eta', 'ssa', 'load']"
