Pattern,issue,output,1_example,2_examples,3_examples,4_examples,5_examples,6_examples,7_examples,8_examples
ETD_TRYING_TO,"Question: """""" I once saw a microwave with a toaster built in. Like the downfall of all relational ORMs - trying to support them all is doing too much. okay, so it's a pretty terrible analogy, but even supporting all the different versions of a single db is maybe intractible when you write it like that is it actually a ""method"" vs a function property?  Is there a difference? """""" 
Answer: ","The sentence """""" trying to support them all is doing too much """""" uses <pattern>trying to VB</pattern> to describe the expectation of the user . The answer is YES.",0,0,0,1,0,0,1,0
ETD_GOING_TO,"Question: """""" I will be grateful if you could take a look on this topic -  I am going to create chatbot using websockets in Angular2. however I have a problem with ERROR TypeError: Cannot read property 'emit' of undefined """""" 
Answer: ","The sentence """"""  I am going to create chatbot using websockets in Angular2. """""" uses <pattern>going to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,1,0,1,0
ETD_CONSIDER_ACTION,"Question: """""" Hi guys, im using ngtools/webpack and come across an issue where it said Calling function 'RouteUltility', function calls are not supported. Consider replacing the function or lambda with a reference to an exported function, resolving symbol routes """""" 
Answer: ","The sentence """""" Consider replacing the function or lambda with a reference to an exported function """""" uses <pattern>consider VBG</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,0,1,0
ETD_CAN_QUESTION,"Question: """""" I have my app component, routing, and a few main routes with a few main route components. I need to split the routed to component in half and put a nav bar in between it's two sections. But I do not want the nav bar to reload every time I route to a new component. How can I project a nav bar into a routed to component so that when I route to route's a, b, c or d, the nav bar stays. """""" 
Answer: ","The sentence """""" How can I project a nav bar into a routed to component so that when I route to route's a, b, c or d, the nav bar stays. """""" uses <pattern>how can I VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,1,0,1,1
ETD_SUPPOSED_TO,"Question: """""" There's an option in angular-cli--extract-css What's the pro/const ? i think we're supposed to use that in dev so our JS is not compiled again and again if we're just touching the SCSS for example. But what about prod ? Is it better to have styles in js or css ? """""" 
Answer: ","The sentence """""" i think we're supposed to use that in dev so our JS is not compiled again and again if we're just touching the SCSS for example. """""" uses <pattern>supposed to VB</pattern> to describe the expectation of the user. The answer is YES.",1,0,0,0,0,0,1,0
ETD_IMPLEMENT,"Question: """""" I have build large SPAs with Angular, but now want to add some angular ""widgets"" to a regular website (think quote of the day/flight status etc). If I use the normal webpack route, I'm going to end up with a large bundle which duplicates all the angular resources for each simple little widget. Is there an established pattern for using Angular in this way? """""" 
Answer: ","The sentence """""" I have build large SPAs with Angular """""" uses <pattern>build sth. with</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,1,1,0
ETD_THINK_ABOUT,"Question: """""" Hi, I am aware that DL4J is recommended to be used with Java 8 but is there any way I can use DL4J with Java 10 and IntelliJ (with or w/out Maven is fine, knowing that Maven have some quirks with Java 10 as well). I was thinking of building with Maven with java SDK 8 and then running the project with java sdk 10 with imported jars from java 8 sdk that the project requires. I have success so far by getting rid of all the exceptions through from the dl4j-examples but I still have this exception: ""Error:java: java.lang.ExceptionInInitializerError"" No worries, thanks. Here's my gist: [<-LINK->] """""" 
Answer: ","The sentence """""" I was thinking of building with Maven with java SDK 8 and then running the project with java sdk 10 with imported jars from java 8 sdk that the project requires. """""" uses <pattern>thinking of VBG</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,0,1,0
ETD_EXPECTED,"Question: """""" Hi,  I would like to lazy load the Vue runtime in Angular.  I have an ng app which might (or might not) load another app. This (second) app is based on Vue and expects the Vue runtime to be already available.  Vue seems to be available as a module.  Is it possible to lazy load this with the import().then() approach?  Thanks! """""" 
Answer: ","The sentence """""" This (second) app is based on Vue and expects the Vue runtime to be already available. """""" uses <pattern>expects sth. to be</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,1,0,0,0,1
ETD_NEED_TO,"Question: """""" guys I have a local registry that is running in swarm mode at the moment it is not on my local machine but on one of the vm's. how to access it? Is there a way to force a service to stay on one node in swarm mode? Also specifying 127.0.0.1:5000 doesn't really make sense if the service is replicated and need to access the image in local repository from VM. Can someone help with this? guys any idea how to setup EndPoint in dnsrr I get this errorport published with ingress mode can't be used with dnsrr modewhe try to deploy my stack. """""" 
Answer: ","The sentence """""" Also specifying 127.0.0.1:5000 doesn't really make sense if the service is replicated and need to access the image in local repository from VM. """""" uses <pattern>need to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,1,0,1,0,1
ETD_WOULD_LIKE,"Question: """""" Hi all, I have a challenging problem, I have n angular2 (10) projects developed separately. To avoid performance problems, duplicated dependencies etc. I would like to make a single build as if it were a single project, but I don't want to drastically change the structure of these projects for example by creating sub-projects. do you think Module Federation could solve this problem? Anyone have any suggestions / experience? """""" 
Answer: ","The sentence """""" I would like to make a single build as if it were a single project """""" uses <pattern>would like to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,1,0,0
ETD_PLAN,"Question: """""" Hi to all.  I'm starting with Angular and I'm planning to develop a UI frontend for a Rest Backend.  I was looking into UI frameworks for Angular 2 and found:  I would like to ask if any have experience with it and how it goes, or perhaps if you have a better recommendation it will be appreciated. thanks in advance """""" 
Answer: ","The sentence """""" I'm starting with Angular and I'm planning to develop a UI frontend for a Rest Backend. """""" uses <pattern>planning to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,1,0,1
ETD_HAVE_TO,"Question: """""" Hi guys, a quick question: how to use global SCSS variables in angular2? I've created a shared 'vars.scss' file, but know I had to import in every single component to have it avaliable? I hope there's a better solution """""" 
Answer: ","The sentence """""" but know I had to import in every single component to have it avaliable """""" uses <pattern>had to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,1,1,0,1
ETD_FOR_EXAMPLE,"Question: """""" guys, can somebody help me w/ chained resolvers? What is a proper approach to chain resolves? e.g. a components needs result from resolverA; resolverA builds a query depending on a result from resolverB. """""" 
Answer: ","The sentence """""" e.g. a components needs result from resolverA; """""" uses an example start with <pattern>e.g. a NNS VBZ</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,1,0,0
ETD_ATTEMPT,"Question: """""" Having an issue with strict typescript checking where I am attempting to assign an async observable to a property expecting any[] and it tells me cannot assign type customers[] | null to type any[], but I am using the ! to ensure it will be defined after the Input() and this is working perfectly fine in another component so I don't understand where the issue is occurring """""" 
Answer: ","The sentence """""" Having an issue with strict typescript checking where I am attempting to assign an async observable to a property expecting any[] and it tells me cannot assign type customers[] | null to type any[] """""" uses <pattern>attempting to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,1,0,0,0
ETD_LOOKING_TO,"Question: """""" Hello! If I'm looking to test a component that gets a service injected via the constructor, can I just provide a mock for the service itself so that I can focus on the actual component? """""" 
Answer: ","The sentence """""" If I'm looking to test a component that gets a service injected via the constructor """""" uses <pattern>looking to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,1,0,1,0,0,0
ETD_BETTER_TO,"Question: """""" There's an option in angular-cli--extract-css What's the pro/const ? i think we're supposed to use that in dev so our JS is not compiled again and again if we're just touching the SCSS for example. But what about prod ? Is it better to have styles in js or css ? """""" 
Answer: ","The sentence """""" Is it better to have styles in js or css ? """""" uses <pattern>better to VB</pattern> to describe the expectation of the user. The answer is YES.",0,1,0,1,0,0,0,0
ETD_WANT_TO,"Question: """""" How do I set a property of a component with data that is only available only afterngAfterViewInitwithout having the dev mode errorExpression has changed after it was checked? Let's say I want to set the width of some child element in a property? Setting it in asetTimeout0 doesn't seem clean to me """""" 
Answer: ","The sentence """""" Let's say I want to set the width of some child element in a property? """""" uses <pattern>want to VB</pattern> to describe the expectation of the user. The answer is YES.",0,1,1,0,0,0,0,1
ETD_BE_POSSIBLE_TO,"Question: """""" is it possible to simulate/inject various network issues in nodejs, specifically tcp  connect timeouts and others? """""" 
Answer: ","The sentence """""" is it possible to simulate/inject various network issues in nodejs """""" uses <pattern>is it possible to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,1,0,0,0,0,1
ETD_HOPE,"Question: """""" Hi, Is it possible to make a directive required in a component? We have various common components that all need to make use of a directive.   I want to make sure the developer is alerted if the directive is not applied during coding.  I was hoping to use something like an interface, but donat know if it is possible. Any ideas anyone?? Thanks. """""" 
Answer: ","The sentence """""" I was hoping to use something like an interface """""" uses <pattern>hoping to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,0,0,1
